enrollment_id,student_id,student_name,student_age,student_gender,student_level,student_program,GPA,is_employed,total_failed_subjects,discipline_score,analytical_score,practical_score,avg_screen_hours,course_id,course_name,course_category,course_level,course_difficulty,course_credit_hours,is_required,professor_id,professor_name,professor_program,professor_academic_rank,professor_specialization,professor_avg_teaching_score,professor_avg_pass_percentage,student_attendance_percentage_subject,weekly_avg_study_hours_subject,academic_year,subject_score
1,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,M111,Calculus 1,Pure Mathematics,1,1,3,Required,9,Safi Saber,Mathematics,Assistant Professor,Pure Mathematics,8,79,89,1.6,2023,82
2,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,M121,Mechanics 1,Applied Mathematics,1,2,3,Required,6,Ahmed Gomaa,Mathematics,Assistant Professor,Applied Mathematics,6,66,87,2.2,2023,78
3,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,P101,Properties of Heat and Matter,Physics,1,2,3,Required,42,Ehab Salim,Physics,Assistant Professor,Physics,9,67,94,2.4,2023,80
4,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,P102,"Electricity, Magnetism and Light",Physics,1,2,3,Required,38,Attia kasem,Physics,Associate Professor,Physics,5,67,88,2.2,2023,79
5,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,C102,General Chemistry 2,Chemistry,1,1,3,Required,41,Om Ali Yousef,Chemistry,Professor,Chemistry,4,68,88,1.9,2023,79
6,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,G101,Human Rights and Anti-Corruption,General Science,1,1,2,Required,15,Bahaa Shabana,Mathematics,Associate Professor,Computer Science,9,51,97,2.2,2023,74
7,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,M112,Algebra and Geometry,Pure Mathematics,1,2,3,Required,24,Mahmoud Othman,Mathematics,Assistant Professor,Pure Mathematics,6,75,89,2,2023,82
8,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,M113,Calculus 2,Pure Mathematics,1,2,3,Required,1,Mohamed Elshafey,Mathematics,Professor,Pure Mathematics,8,51,91,2.5,2023,77
9,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,M122,Mechanics 2,Applied Mathematics,1,2,3,Required,7,Mohamed Gomaa,Mathematics,Assistant Professor,Applied Mathematics,4,60,85,2.2,2023,77
10,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,P103,Electrical Circuits,Physics,1,2,3,Required,36,Mohamed Mostafa,Physics,Assistant Professor,Physics,5,75,87,2.1,2023,83
11,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,C101,General Chemistry 1,Chemistry,1,1,3,Required,33,Mohamed Ramadan,Chemistry,Associate Professor,Chemistry,9,72,90,1.7,2023,81
12,1,Abdelrahman Ahmed,18,Male,1,Statistics and Computer Science,3.24,0,0,7,9,7,3,G102,Introduction to Computer Science,Computer Science,1,1,2,Required,15,Bahaa Shabana,Mathematics,Associate Professor,Computer Science,9,51,96,2.1,2023,77
13,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M212,Abstract Algebra 1,Pure Mathematics,2,4,3,Required,44,Mona Anees,Mathematics,Assistant Professor,Pure Mathematics,6,64,90,3,2024,83
14,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M214,Differential Equations 1,Pure Mathematics,2,3,3,Required,1,Mohamed Elshafey,Mathematics,Professor,Pure Mathematics,8,51,90,2.7,2024,78
15,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M216,Advanced Calculus,Pure Mathematics,2,3,3,Required,3,Samir kasem,Mathematics,Professor,Pure Mathematics,7,57,92,2.8,2024,82
16,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M221,Mechanics 3,Applied Mathematics,2,3,3,Required,8,Samy Fekry,Mathematics,Assistant Professor,Applied Mathematics,9,60,96,3,2024,84
17,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M231,Introduction to Statistics and Probability,Statistics,2,2,3,Required,21,Dina Ahmed,Statistics and Computer Science,Assistant Professor,Statistics,5,78,95,2,2024,86
18,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,G201,Scientific Terminology in English,General Science,2,1,2,Required,20,Ahlam Hamdy,Statistics and Computer Science,Associate Professor,Statistics,5,77,88,1.8,2024,86
19,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M211,Real Analysis,Pure Mathematics,2,4,3,Required,3,Samir kasem,Mathematics,Professor,Pure Mathematics,7,57,92,3.1,2024,83
20,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M215,Linear Algebra 1,Pure Mathematics,2,2,3,Required,30,Tarek Fawzy,Mathematics,Associate Professor,Pure Mathematics,6,82,87,2.1,2024,90
21,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M218,Analytical Geometry,Pure Mathematics,2,2,3,Required,24,Mahmoud Othman,Mathematics,Assistant Professor,Pure Mathematics,6,75,90,2,2024,86
22,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M223,Mechanics 4,Applied Mathematics,2,3,3,Required,6,Ahmed Gomaa,Mathematics,Assistant Professor,Applied Mathematics,6,66,92,2.6,2024,84
23,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,P222,Fundamentals of Electromagnetic Theory,Physics,2,4,2,Required,32,Nermeen Ali,Physics,Assistant Professor,Physics,6,68,89,3,2024,85
24,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M217,Introduction to Logic,Pure Mathematics,2,2,2,Optional,29,Hala Mahmoud,Mathematics,Associate Professor,Pure Mathematics,6,85,94,1.9,2024,90
25,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,G202,Cultural Studies,General Science,2,1,2,Optional,1,Mohamed Elshafey,Mathematics,Professor,Pure Mathematics,8,51,95,2.1,2024,78
26,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M311,Measure Theory,Pure Mathematics,3,4,2,Required,9,Safi Saber,Mathematics,Assistant Professor,Pure Mathematics,8,79,96,2.8,2025,94
27,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M312,Complex Analysis 1,Pure Mathematics,3,3,3,Required,26,Fadia Samoel,Mathematics,Assistant Professor,Pure Mathematics,4,62,86,2.8,2025,88
28,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M313,Numerical Analysis 1,Pure Mathematics,3,2,3,Required,23,Mohamed Abdelrahman,Statistics and Computer Science,Professor,Pure Mathematics,7,85,93,1.9,2025,93
29,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M316,Topology 1,Pure Mathematics,3,4,2,Required,44,Mona Anees,Mathematics,Assistant Professor,Pure Mathematics,6,64,93,3.2,2025,89
30,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M326,Analytical Mechanics,Applied Mathematics,3,3,3,Required,6,Ahmed Gomaa,Mathematics,Assistant Professor,Applied Mathematics,6,66,90,2.6,2025,90
31,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M335,Differential Equations 2,Pure Mathematics,3,3,2,Required,24,Mahmoud Othman,Mathematics,Assistant Professor,Pure Mathematics,6,75,94,2.7,2025,93
32,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M319,Number Theory,Pure Mathematics,3,3,2,Optional,5,Adel Bahy,Mathematics,Associate Professor,Pure Mathematics,6,78,90,2.3,2025,93
33,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M315,Abstract Algebra 2,Pure Mathematics,3,3,3,Required,25,Ahmed Saed,Mathematics,Associate Professor,Pure Mathematics,6,72,93,2.5,2025,91
34,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M318,Integral Equations,Pure Mathematics,3,3,2,Required,5,Adel Bahy,Mathematics,Associate Professor,Pure Mathematics,6,78,91,2.5,2025,93
35,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M321,Electrodynamics,Applied Mathematics,3,3,2,Required,2,Magdy Elias,Mathematics,Professor,Applied Mathematics,7,74,96,2.7,2025,92
